game_status,dealer_total,dealer_cards,player_name,player_total,player_cards,player_wager,player_balance,running_count,deck_remaining_percent,true_count,remaining_cards
player bust,18,2 7 9 ,player1,26,king 6 jack ,100,-100,-1,0.8846153846153846,-1.1304347826086958,",5,4,7,7,3,5,4,7,king,queen,king,6,2,jack,queen,10,4,9,jack,5,4,queen,8,2,ace,10,queen,9,8,2,10,3,6,3,3,ace,5,6,8,king,ace,ace,8"
dealer bust,22,7 5 king ,computer,12,5 7 ,100,200,3,0.7307692307692308,4.105263157894736,",queen,king,6,2,jack,queen,10,4,9,jack,5,4,queen,8,2,ace,10,queen,9,8,2,10,3,6,3,3,ace,5,6,8,king,ace,ace,8"
dealer bust,22,7 5 king ,player1,18,4 3 4 7 ,100,0,3,0.7307692307692308,4.105263157894736,",queen,king,6,2,jack,queen,10,4,9,jack,5,4,queen,8,2,ace,10,queen,9,8,2,10,3,6,3,3,ace,5,6,8,king,ace,ace,8"
player bust,20,6 queen 4 ,computer,22,queen 2 10 ,100,100,1,0.5576923076923077,1.793103448275862,",9,jack,5,4,queen,8,2,ace,10,queen,9,8,2,10,3,6,3,3,ace,5,6,8,king,ace,ace,8"
Tie,20,6 queen 4 ,player1,20,king jack ,10.0,0,1,0.5576923076923077,1.793103448275862,",9,jack,5,4,queen,8,2,ace,10,queen,9,8,2,10,3,6,3,3,ace,5,6,8,king,ace,ace,8"
player bust,23,5 8 queen ,computer,26,9 4 2 ace 10 ,100,0,1,0.40384615384615385,2.4761904761904763,",9,8,2,10,3,6,3,3,ace,5,6,8,king,ace,ace,8"
dealer bust,23,5 8 queen ,player1,20,jack queen ,100,100,1,0.40384615384615385,2.4761904761904763,",9,8,2,10,3,6,3,3,ace,5,6,8,king,ace,ace,8"
Tie,18,8 king ,computer,18,9 4 5 ,100,0,1,0.8846153846153846,1.1304347826086958,",2,jack,2,queen,jack,10,jack,9,8,3,queen,4,3,6,2,5,6,9,king,7,8,10,3,6,ace,10,6,jack,2,9,queen,4,5,7,8,ace,ace,7,queen,ace,king,10"
player bust,18,8 king ,player1,24,7 4 3 king ,100,0,1,0.8846153846153846,1.1304347826086958,",2,jack,2,queen,jack,10,jack,9,8,3,queen,4,3,6,2,5,6,9,king,7,8,10,3,6,ace,10,6,jack,2,9,queen,4,5,7,8,ace,ace,7,queen,ace,king,10"
player bust,21,2 10 9 ,computer,22,2 queen jack ,100,-100,-1,0.7115384615384616,-1.4054054054054053,",8,3,queen,4,3,6,2,5,6,9,king,7,8,10,3,6,ace,10,6,jack,2,9,queen,4,5,7,8,ace,ace,7,queen,ace,king,10"
dealer wins,21,2 10 9 ,player1,20,jack jack ,100,-100,-1,0.7115384615384616,-1.4054054054054053,",8,3,queen,4,3,6,2,5,6,9,king,7,8,10,3,6,ace,10,6,jack,2,9,queen,4,5,7,8,ace,ace,7,queen,ace,king,10"
dealer bust,22,queen 6 6 ,computer,12,8 4 ,100,0,2,0.5576923076923077,3.586206896551724,",9,king,7,8,10,3,6,ace,10,6,jack,2,9,queen,4,5,7,8,ace,ace,7,queen,ace,king,10"
dealer bust,22,queen 6 6 ,player1,13,3 3 2 5 ,100,0,2,0.5576923076923077,3.586206896551724,",9,king,7,8,10,3,6,ace,10,6,jack,2,9,queen,4,5,7,8,ace,ace,7,queen,ace,king,10"
dealer bust,24,jack 4 king ,computer,19,8 ace ,100,100,-1,0.8846153846153846,-1.1304347826086958,",queen,9,2,7,9,3,8,queen,8,5,ace,king,3,king,9,jack,6,7,10,4,2,7,king,6,5,4,ace,4,10,6,3,queen,2,queen,jack,8,9,7,6,2,10,5,ace,3"
dealer bust,24,jack 4 king ,player1,15,10 5 ,100,100,-1,0.8846153846153846,-1.1304347826086958,",queen,9,2,7,9,3,8,queen,8,5,ace,king,3,king,9,jack,6,7,10,4,2,7,king,6,5,4,ace,4,10,6,3,queen,2,queen,jack,8,9,7,6,2,10,5,ace,3"
dealer wins,18,2 3 8 5 ,computer,17,queen 7 ,100,0,0,0.75,0.0,",ace,king,3,king,9,jack,6,7,10,4,2,7,king,6,5,4,ace,4,10,6,3,queen,2,queen,jack,8,9,7,6,2,10,5,ace,3"
dealer wins,18,2 3 8 5 ,player1,17,9 8 ,100,0,0,0.75,0.0,",ace,king,3,king,9,jack,6,7,10,4,2,7,king,6,5,4,ace,4,10,6,3,queen,2,queen,jack,8,9,7,6,2,10,5,ace,3"
